"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2021","22.10","21.25","22.50","21.25","2.04M","4.74%"
"Jun 29, 2021","21.10","21.55","21.80","21.01","343.00K","0.24%"
"Jun 28, 2021","21.05","22.00","22.00","21.05","2.04M","-4.32%"
"Jun 25, 2021","22.00","23.09","23.10","21.95","1.13M","-3.30%"
"Jun 24, 2021","22.75","22.26","23.45","21.90","1.87M","1.52%"
"Jun 23, 2021","22.41","22.89","23.24","22.30","1.31M","-1.10%"
"Jun 22, 2021","22.66","22.44","23.00","22.05","2.75M","3.00%"
"Jun 21, 2021","22.00","22.00","22.60","21.12","2.57M","2.04%"
"Jun 18, 2021","21.56","21.20","22.19","21.00","2.50M","2.67%"
"Jun 17, 2021","21.00","20.11","21.74","19.98","5.75M","3.70%"
"Jun 16, 2021","20.25","20.60","20.87","20.20","486.00K","-1.46%"
"Jun 15, 2021","20.55","21.91","21.91","20.50","1.89M","-5.12%"
"Jun 14, 2021","21.66","22.35","22.35","21.20","3.68M","3.88%"
"Jun 11, 2021","20.85","20.49","21.30","20.20","2.44M","3.22%"
"Jun 10, 2021","20.20","19.89","20.59","19.66","2.21M","3.06%"
"Jun 09, 2021","19.60","19.19","19.95","19.00","1.13M","2.62%"
"Jun 08, 2021","19.10","19.52","19.52","18.60","936.00K","-1.55%"
"Jun 07, 2021","19.40","19.30","20.00","19.30","1.42M","0.00%"
"Jun 04, 2021","19.40","20.49","20.49","19.25","2.83M","-4.86%"
"Jun 03, 2021","20.39","20.70","21.00","20.16","4.59M","0.39%"
"Jun 02, 2021","20.31","20.15","20.79","19.50","5.03M","2.11%"
"Jun 01, 2021","19.89","18.99","19.89","18.65","13.93M","7.46%"
"May 31, 2021","18.51","17.90","18.51","17.50","5.06M","7.49%"
"May 28, 2021","17.22","16.19","17.22","16.00","5.51M","7.36%"
"May 27, 2021","16.04","15.60","16.60","15.56","3.94M","2.82%"
"May 26, 2021","15.60","15.34","15.70","15.05","2.76M","3.38%"
"May 25, 2021","15.09","15.40","15.50","15.00","1.21M","-2.01%"
"May 24, 2021","15.40","15.68","15.70","15.25","405.50K","-1.16%"
"May 21, 2021","15.58","15.66","15.92","15.45","802.50K","-0.76%"
