Date,Price,Open,High,Low,Vol.,Change %
"Jun 18, 2021","48,238.67","48,157.63","48,411.87","48,022.72",-,0.22%
"Jun 17, 2021","48,131.25","48,480.90","48,544.65","48,115.84",-,-0.72%
"Jun 16, 2021","48,480.90","48,632.56","48,878.20","48,431.96",-,-0.31%
"Jun 15, 2021","48,632.56","48,726.08","48,841.47","48,511.58",-,-0.19%
"Jun 14, 2021","48,726.08","48,304.72","48,976.09","48,304.72",-,0.87%
"Jun 11, 2021","48,304.72","48,251.49","48,531.40","48,245.40",-,0.11%
"Jun 10, 2021","48,251.49","47,777.62","48,287.52","47,777.62",-,0.99%
"Jun 09, 2021","47,777.62","48,147.98","48,311.92","47,725.94",-,-0.77%
"Jun 08, 2021","48,147.98","48,302.66","48,409.88","48,000.26",-,-0.32%
"Jun 07, 2021","48,302.66","48,211.70","48,632.95","48,211.70",-,0.19%
"Jun 04, 2021","48,211.70","48,093.53","48,426.53","48,093.53",-,0.25%
"Jun 03, 2021","48,093.53","48,126.90","48,434.40","48,010.32",-,-0.07%
"Jun 02, 2021","48,126.90","48,191.26","48,286.46","47,960.46",-,-0.13%
"Jun 01, 2021","48,191.26","47,896.34","48,226.56","47,896.34",-,0.62%
"May 31, 2021","47,896.34","47,126.29","47,979.68","47,126.29",-,1.63%
"May 28, 2021","47,126.29","46,790.75","47,246.50","46,698.23",-,0.72%
"May 27, 2021","46,790.75","46,812.31","47,204.13","46,675.69",-,-0.05%
"May 26, 2021","46,812.31","46,300.66","46,856.27","46,300.66",-,1.11%
"May 25, 2021","46,300.66","46,097.11","46,369.19","46,048.84",-,0.44%
"May 24, 2021","46,097.11","45,914.98","46,314.83","45,914.98",-,0.40%
"May 21, 2021","45,914.98","45,574.07","45,948.11","45,560.13",-,0.75%
"May 20, 2021","45,574.07","45,682.11","45,831.12","45,518.74",-,-0.24%
"May 19, 2021","45,682.11","45,981.82","45,981.82","45,612.88",-,-0.65%
"May 18, 2021","45,981.82","45,796.31","46,033.92","45,618.78",-,0.41%
"May 17, 2021","45,796.31","45,174.67","45,806.98","45,174.67",-,1.38%
"May 06, 2021","45,174.67","44,943.61","45,243.83","44,889.59",-,0.51%
"May 05, 2021","44,943.61","44,563.59","45,173.61","44,563.59",-,0.85%
"May 04, 2021","44,563.59","44,076.20","44,620.41","44,076.20",-,1.11%
"May 03, 2021","44,076.20","44,262.35","44,326.01","43,630.07",-,-0.42%
"Apr 30, 2021","44,262.35","44,863.11","45,056.90","44,151.69",-,-1.34%
"Apr 29, 2021","44,863.11","45,059.12","45,143.34","44,781.30",-,-0.44%
