Open,High,Low,Close,Volume
194.27,194.76,191.94,192.42,"44,594,008"
195.22,196.27,193.11,194.17,"54,822,129"
195.42,196.38,194.34,194.5,"53,631,320"
195.02,195.75,193.83,195.18,"42,355,594"
192.3,195.33,192.26,193.89,"60,133,848"
189.33,191.95,188.82,191.56,"68,902,992"
186.09,189.14,185.83,188.63,"78,005,750"
181.27,182.93,180.3,182.68,"47,317,434"
182.16,184.26,180.93,183.63,"65,603,039"
186.06,186.74,185.19,185.92,"40,477,781"
186.54,187.05,183.62,185.59,"49,128,406"
184.35,186.4,183.92,186.19,"46,792,910"
183.92,185.15,182.73,185.14,"42,841,809"
182.09,185.6,181.5,185.56,"59,144,473"
181.99,182.76,180.17,181.18,"62,379,660"
182.15,183.09,180.88,181.91,"71,983,570"
184.22,185.88,183.43,184.25,"58,414,461"
187.15,188.44,183.89,185.64,"82,488,672"
193.9,194.4,191.73,192.53,"42,672,152"
194.14,194.66,193.17,193.58,"34,049,898"
