Open,High,Low,Close,Volume
190.94,191.8,187.47,188.04,"55,859,367"
192.01,192.2,189.58,191.73,"47,145,621"
194.27,194.76,191.94,192.42,"44,594,008"
195.22,196.27,193.11,194.17,"54,822,129"
195.42,196.38,194.34,194.5,"53,631,320"
195.02,195.75,193.83,195.18,"42,355,594"
192.3,195.33,192.26,193.89,"60,133,848"
189.33,191.95,188.82,191.56,"68,902,992"
186.09,189.14,185.83,188.63,"78,005,750"
181.27,182.93,180.3,182.68,"47,317,434"
182.16,184.26,180.93,183.63,"65,603,039"
186.06,186.74,185.19,185.92,"40,477,781"
186.54,187.05,183.62,185.59,"49,128,406"
184.35,186.4,183.92,186.19,"46,792,910"
183.92,185.15,182.73,185.14,"42,841,809"
182.09,185.6,181.5,185.56,"59,144,473"
181.99,182.76,180.17,181.18,"62,379,660"
182.15,183.09,180.88,181.91,"71,983,570"
184.22,185.88,183.43,184.25,"58,414,461"
187.15,188.44,183.89,185.64,"82,488,672"
193.9,194.4,191.73,192.53,"42,672,152"
194.14,194.66,193.17,193.58,"34,049,898"
192.49,193.5,191.09,193.15,"48,087,680"
193.61,193.89,192.83,193.05,"28,919,311"
195.18,195.41,192.97,193.6,"37,149,566"
196.1,197.08,193.5,194.68,"46,482,551"
196.9,197.68,194.83,194.83,"52,242,820"
196.16,196.95,195.89,196.94,"40,714,047"
196.09,196.63,194.39,195.89,"55,751,859"
197.53,198.4,197.0,197.57,"128,538,398"
198.02,199.62,196.16,198.11,"66,831,570"
195.09,198.0,194.85,197.96,"70,404,180"
193.08,194.72,191.72,194.71,"52,696,898"
193.11,193.49,191.42,193.18,"60,943,699"
194.2,195.99,193.67,195.71,"53,406,359"
193.63,195.0,193.59,194.27,"47,477,660"
194.45,194.76,192.11,192.32,"41,089,738"
190.21,194.4,190.18,193.42,"66,628,398"
189.98,190.05,187.45,189.43,"43,389,520"
190.33,191.56,189.23,191.24,"45,704,820"
189.84,190.32,188.19,189.95,"48,794,367"
190.9,192.09,188.97,189.37,"43,014,219"
189.78,191.08,189.4,190.4,"38,415,422"
189.92,190.67,188.9,189.79,"40,552,609"
190.87,190.9,189.25,189.97,"24,048,340"
191.49,192.93,190.83,191.31,"39,630,008"
191.41,191.52,189.74,190.64,"38,134,488"
189.89,191.91,189.88,191.45,"46,538,609"
190.25,190.38,188.57,189.69,"50,941,398"
189.57,190.96,188.65,189.71,"54,412,922"
187.85,189.5,187.78,188.01,"53,790,500"
187.7,188.11,186.3,187.44,"60,108,379"
