Date,Open,High,Low,Close,Volume
01/30/2024,"190.94","191.80","187.47","188.04","55,859,367"
01/29/2024,"192.01","192.20","189.58","191.73","47,145,621"
01/26/2024,"194.27","194.76","191.94","192.42","44,594,008"
01/25/2024,"195.22","196.27","193.11","194.17","54,822,129"
01/24/2024,"195.42","196.38","194.34","194.50","53,631,320"
01/23/2024,"195.02","195.75","193.83","195.18","42,355,594"
01/22/2024,"192.30","195.33","192.26","193.89","60,133,848"
01/19/2024,"189.33","191.95","188.82","191.56","68,902,992"
01/18/2024,"186.09","189.14","185.83","188.63","78,005,750"
01/17/2024,"181.27","182.93","180.30","182.68","47,317,434"
01/16/2024,"182.16","184.26","180.93","183.63","65,603,039"
01/12/2024,"186.06","186.74","185.19","185.92","40,477,781"
01/11/2024,"186.54","187.05","183.62","185.59","49,128,406"
01/10/2024,"184.35","186.40","183.92","186.19","46,792,910"
01/09/2024,"183.92","185.15","182.73","185.14","42,841,809"
01/08/2024,"182.09","185.60","181.50","185.56","59,144,473"
01/05/2024,"181.99","182.76","180.17","181.18","62,379,660"
01/04/2024,"182.15","183.09","180.88","181.91","71,983,570"
01/03/2024,"184.22","185.88","183.43","184.25","58,414,461"
01/02/2024,"187.15","188.44","183.89","185.64","82,488,672"
12/29/2023,"193.90","194.40","191.73","192.53","42,672,152"
12/28/2023,"194.14","194.66","193.17","193.58","34,049,898"
12/27/2023,"192.49","193.50","191.09","193.15","48,087,680"
12/26/2023,"193.61","193.89","192.83","193.05","28,919,311"
12/22/2023,"195.18","195.41","192.97","193.60","37,149,566"
12/21/2023,"196.10","197.08","193.50","194.68","46,482,551"
12/20/2023,"196.90","197.68","194.83","194.83","52,242,820"
12/19/2023,"196.16","196.95","195.89","196.94","40,714,047"
12/18/2023,"196.09","196.63","194.39","195.89","55,751,859"
12/15/2023,"197.53","198.40","197.00","197.57","128,538,398"
12/14/2023,"198.02","199.62","196.16","198.11","66,831,570"
12/13/2023,"195.09","198.00","194.85","197.96","70,404,180"
12/12/2023,"193.08","194.72","191.72","194.71","52,696,898"
12/11/2023,"193.11","193.49","191.42","193.18","60,943,699"
12/08/2023,"194.20","195.99","193.67","195.71","53,406,359"
12/07/2023,"193.63","195.00","193.59","194.27","47,477,660"
12/06/2023,"194.45","194.76","192.11","192.32","41,089,738"
12/05/2023,"190.21","194.40","190.18","193.42","66,628,398"
12/04/2023,"189.98","190.05","187.45","189.43","43,389,520"
12/01/2023,"190.33","191.56","189.23","191.24","45,704,820"
11/30/2023,"189.84","190.32","188.19","189.95","48,794,367"
11/29/2023,"190.90","192.09","188.97","189.37","43,014,219"
11/28/2023,"189.78","191.08","189.40","190.40","38,415,422"
11/27/2023,"189.92","190.67","188.90","189.79","40,552,609"
11/24/2023,"190.87","190.90","189.25","189.97","24,048,340"
11/22/2023,"191.49","192.93","190.83","191.31","39,630,008"
11/21/2023,"191.41","191.52","189.74","190.64","38,134,488"
11/20/2023,"189.89","191.91","189.88","191.45","46,538,609"
11/17/2023,"190.25","190.38","188.57","189.69","50,941,398"
11/16/2023,"189.57","190.96","188.65","189.71","54,412,922"
11/15/2023,"187.85","189.50","187.78","188.01","53,790,500"
11/14/2023,"187.70","188.11","186.30","187.44","60,108,379"
11/13/2023,"185.82","186.03","184.21","184.80","43,627,520"
11/10/2023,"183.97","186.57","183.53","186.40","66,177,922"
11/09/2023,"182.96","184.12","181.81","182.41","53,763,539"
11/08/2023,"182.35","183.45","181.59","182.89","49,340,281"
11/07/2023,"179.18","182.44","178.97","181.82","70,529,969"
11/06/2023,"176.38","179.43","176.21","179.23","63,841,312"
11/03/2023,"174.24","176.82","173.35","176.65","79,829,250"
11/02/2023,"175.52","177.78","175.46","177.57","77,334,750"
11/01/2023,"171.00","174.23","170.12","173.97","56,934,910"
10/31/2023,"169.35","170.90","167.90","170.77","44,846,020"
10/30/2023,"169.02","171.17","168.87","170.29","51,130,961"
10/27/2023,"166.91","168.96","166.83","168.22","58,499,129"
10/26/2023,"170.37","171.38","165.67","166.89","70,625,266"
10/25/2023,"171.88","173.06","170.65","171.10","57,156,961"
10/24/2023,"173.05","173.67","171.45","173.44","43,816,641"
10/23/2023,"170.91","174.01","169.93","173.00","55,980,113"
10/20/2023,"175.31","175.42","172.64","172.88","64,244,031"
10/19/2023,"176.04","177.84","175.19","175.46","59,302,859"
10/18/2023,"175.58","177.58","175.11","175.84","54,764,379"
10/17/2023,"176.65","178.42","174.80","177.15","57,549,352"
10/16/2023,"176.75","179.08","176.51","178.72","52,516,980"
10/13/2023,"181.42","181.93","178.14","178.85","51,456,078"
10/12/2023,"180.07","182.34","179.04","180.71","56,743,121"
10/11/2023,"178.20","179.85","177.60","179.80","47,551,102"
10/10/2023,"178.10","179.72","177.95","178.39","43,698,020"
10/09/2023,"176.81","179.05","175.80","178.99","42,390,770"
10/06/2023,"173.80","177.99","173.18","177.49","57,266,680"
10/05/2023,"173.79","175.45","172.68","174.91","48,527,922"
10/04/2023,"171.09","174.21","170.97","173.66","53,020,289"
10/03/2023,"172.26","173.63","170.82","172.40","49,594,609"
10/02/2023,"171.22","174.30","170.93","173.75","52,164,539"
09/29/2023,"172.02","173.07","170.34","171.21","51,861,078"
09/28/2023,"169.34","172.03","167.62","170.69","56,294,422"
09/27/2023,"172.62","173.04","169.05","170.43","66,921,805"
09/26/2023,"174.82","175.20","171.66","171.96","64,588,953"
09/25/2023,"174.20","176.97","174.15","176.08","46,172,738"
09/22/2023,"174.67","177.08","174.05","174.79","56,725,391"
09/21/2023,"174.55","176.30","173.86","173.93","63,149,121"
09/20/2023,"179.26","179.70","175.40","175.49","58,436,180"
09/19/2023,"177.52","179.63","177.13","179.07","51,826,941"
09/18/2023,"176.48","179.38","176.17","177.97","67,257,570"
09/15/2023,"176.48","176.50","173.82","175.01","109,259,508"
09/14/2023,"174.00","176.10","173.58","175.74","60,895,762"
09/13/2023,"176.51","177.30","173.98","174.21","84,267,930"
09/12/2023,"179.49","180.13","174.82","176.30","90,370,195"
09/11/2023,"180.07","180.30","177.34","179.36","58,953,047"
09/08/2023,"178.35","180.24","177.79","178.18","65,602,070"
