Year,Province,Grade,Male,Female,
2010,Punjab,1,8580,488,
2010,Punjab,2,5321,465,
2010,Punjab,3,1816,155,
2010,Punjab,4,1739,735,
2010,Punjab,5,3333,53,
2010,Punjab,6,2861,62,
2010,Punjab,7,3207,106,
2010,Punjab,8,722,14,
2010,Punjab,9,2343,590,
2010,Punjab,10,163,6,
2010,Punjab,11,2398,50,
2010,Punjab,12,901,84,
2010,Punjab,13,176,1,
2010,Punjab,14,1208,82,
2010,Punjab,15,640,11,
2010,Punjab,16,1321,2241,
2010,Punjab,17,4124,1057,
2010,Punjab,18,1936,423,
2010,Punjab,19,1005,195,
2010,Punjab,20,309,45,
2010,Punjab,21,173,6,
2010,Punjab,22,2,0,
2010,Sindh,1,8,0,
2010,Sindh,2,227,62,
2010,Sindh,3,3,0,
2010,Sindh,5,52,0,
2010,Sindh,6,5,0,
2010,Sindh,7,13,0,
2010,Sindh,8,2,0,
2010,Sindh,9,2,0,
2010,Sindh,10,1,0,
2010,Sindh,11,7,0,
2010,Sindh,14,1,0,
2010,Sindh,15,1,0,
2010,Sindh,16,3,0,
2010,Sindh,17,2,0,
2010,KPK,1,"18,637",759,
2010,KPK,2,"39,269","2,111",
2010,KPK,3,"4,831",811,
2010,KPK,4,"1,355",78,
2010,KPK,5,"42,770",747,
2010,KPK,6,"1,445",79,
2010,KPK,7,"15,641",960,
2010,KPK,8,147,255,
2010,KPK,9,"13,717","2,352",
2010,KPK,10,291,94,
2010,KPK,11,"1,436",209,
2010,KPK,12,"24,060","15,167",
2010,KPK,13,85,1,
2010,KPK,14,"14,470","1,690",
2010,KPK,15,"21,137","6,937",
2010,KPK,16,"12,369","5,128",
2010,KPK,17,"7,774","2,062",
2010,KPK,18,"2,300",330,
2010,KPK,19,"1,087",108,
2010,KPK,20,306,59,
2010,KPK,21,71,4,
2010,KPK,22,1,0,
2010,Balochistan,1,5520,266,
2010,Balochistan,2,1812,10,
2010,Balochistan,3,319,0,
2010,Balochistan,4,867,0,
2010,Balochistan,5,1413,365,
2010,Balochistan,6,1785,6,
2010,Balochistan,7,1603,10,
2010,Balochistan,8,439,258,
2010,Balochistan,9,912,3,
2010,Balochistan,10,2,2,
2010,Balochistan,11,661,275,
2010,Balochistan,12,393,12,
2010,Balochistan,13,24,0,
2010,Balochistan,14,732,4,
2010,Balochistan,15,135,0,
2010,Balochistan,16,540,73,
2010,Balochistan,17,1360,79,
2010,Balochistan,18,206,15,
2010,Balochistan,19,85,2,
2010,Balochistan,20,29,0,
2010,Balochistan,21,2,0,
2010,Gilgit-Baltistan,1,184,0,
2010,Gilgit-Baltistan,2,451,0,
2010,Gilgit-Baltistan,3,21,0,
2010,Gilgit-Baltistan,4,45,0,
2010,Gilgit-Baltistan,5,3872,42,
2010,Gilgit-Baltistan,6,115,3,
2010,Gilgit-Baltistan,7,715,14,
2010,Gilgit-Baltistan,8,4,0,
2010,Gilgit-Baltistan,9,258,15,
2010,Gilgit-Baltistan,10,3,0,
2010,Gilgit-Baltistan,11,36,0,
2010,Gilgit-Baltistan,12,52,0,
2010,Gilgit-Baltistan,14,228,4,
2010,Gilgit-Baltistan,15,28,0,
2010,Gilgit-Baltistan,16,112,1,
